City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
bonfim,3.08,-59.95,75.79,87,67,3.15,BR,1594955805
jamestown,42.1,-79.24,73.0,94,90,4.7,US,1594955189
khatanga,71.97,102.5,46.08,75,100,19.19,RU,1594955099
mahebourg,-20.41,57.7,69.8,77,40,6.93,MU,1594955324
nemuro,43.32,145.57,69.8,68,20,9.17,JP,1594955326
cidreira,-30.18,-50.21,57.72,92,100,15.12,BR,1594955160
tabuk,17.42,121.44,88.03,65,70,7.0,PH,1594955692
goba,7.02,39.98,51.03,89,100,3.71,ET,1594955805
vardo,70.37,31.11,55.4,87,99,4.7,NO,1594955325
shingu,33.73,135.98,75.2,88,75,3.36,JP,1594955805
marrakesh,31.63,-8.01,80.6,51,91,4.7,MA,1594955716
kapaa,22.08,-159.32,84.2,70,20,9.17,US,1594955317
phan thiet,10.93,108.1,86.54,66,16,2.35,VN,1594955769
puerto colombia,10.99,-74.95,80.6,88,40,9.17,CO,1594955669
arraial do cabo,-22.97,-42.03,64.4,82,20,5.82,BR,1594955096
mataura,-46.19,168.86,39.0,83,32,3.0,NZ,1594955096
cape town,-33.93,18.42,48.0,93,0,4.7,ZA,1594955093
hermanus,-34.42,19.23,44.01,89,0,1.99,ZA,1594955317
punta arenas,-53.15,-70.92,30.2,86,0,4.7,CL,1594955116
rikitea,-23.12,-134.97,73.69,81,100,4.74,PF,1594955805
port hardy,50.7,-127.42,57.2,82,90,10.29,CA,1594955336
bethel,41.37,-73.41,64.99,77,1,5.82,US,1594955319
longyearbyen,78.22,15.64,44.6,87,40,1.23,SJ,1594955101
mabaruma,8.2,-59.78,74.73,96,94,2.66,GY,1594955805
port alfred,-33.59,26.89,56.28,39,0,6.98,ZA,1594955320
dingle,11.0,122.67,87.91,66,2,3.8,PH,1594955339
bluff,-46.6,168.33,39.0,83,39,3.0,NZ,1594955806
shimoda,34.67,138.95,68.0,94,75,12.75,JP,1594955343
kaitangata,-46.28,169.85,46.99,57,30,8.99,NZ,1594955321
hilo,19.73,-155.09,82.4,69,20,6.93,US,1594955610
rochegda,62.8,43.25,57.92,96,70,1.32,RU,1594955806
kayan,16.91,96.56,84.2,83,75,8.05,MM,1594955806
saint george,37.1,-113.58,100.4,11,1,10.29,US,1594955334
mulchen,-37.72,-72.23,47.3,93,100,4.59,CL,1594955806
bredasdorp,-34.53,20.04,44.6,87,0,6.93,ZA,1594955322
qaanaaq,77.48,-69.36,43.07,74,55,3.38,GL,1594955322
sorong,-0.88,131.25,83.3,71,0,4.88,ID,1594955334
saldanha,-33.01,17.94,42.8,81,0,3.36,ZA,1594955322
touros,-5.2,-35.46,71.6,94,90,3.36,BR,1594955346
prince rupert,54.32,-130.32,57.2,82,90,2.24,CA,1594955806
bengkulu,-3.8,102.27,82.94,73,43,6.55,ID,1594955337
albacete,38.83,-2.0,69.01,61,0,1.01,ES,1594955806
faya,18.39,42.45,69.8,49,45,10.69,SA,1594955325
yar-sale,66.83,70.83,56.59,60,3,4.61,RU,1594955089
srikakulam,18.3,83.9,85.55,70,21,5.93,IN,1594955806
hithadhoo,-0.6,73.08,84.22,72,94,9.66,MV,1594955116
santa fe,-31.63,-60.7,53.01,87,0,1.99,AR,1594955806
port elizabeth,-33.92,25.57,42.8,93,0,2.24,ZA,1594955317
ushuaia,-54.8,-68.3,28.4,74,0,4.7,AR,1594955109
gbarnga,7.0,-9.47,67.33,95,91,2.51,LR,1594955807
puerto ayora,-0.74,-90.35,68.0,90,8,1.01,EC,1594955321
albany,42.6,-73.97,66.99,83,100,11.45,US,1594955316
port macquarie,-31.43,152.92,61.0,76,16,3.0,AU,1594955650
tuktoyaktuk,69.45,-133.04,55.4,71,20,13.87,CA,1594955323
sedhiou,12.71,-15.56,74.52,95,75,4.34,SN,1594955807
kostomuksha,64.57,30.58,49.64,62,0,1.99,RU,1594955807
fortuna,40.6,-124.16,62.01,93,90,9.17,US,1594955349
suihua,46.64,127.0,85.68,58,0,13.09,CN,1594955807
wajir,1.75,40.06,70.09,64,100,8.39,KE,1594955807
atuona,-9.8,-139.03,79.72,76,6,17.52,PF,1594955320
sorland,67.67,12.69,55.11,91,100,13.96,NO,1594955343
vaini,-21.2,-175.2,78.8,78,75,6.93,TO,1594955319
conde,-7.26,-34.91,70.45,90,5,9.95,BR,1594955689
busselton,-33.65,115.33,55.99,90,63,18.21,AU,1594955743
gorontalo,0.54,123.06,87.66,57,50,3.22,ID,1594955667
butaritari,3.07,172.79,83.34,71,100,10.02,KI,1594955327
kizukuri,40.81,140.39,78.01,73,75,8.05,JP,1594955807
lorengau,-2.02,147.27,86.27,62,54,3.4,PG,1594955318
tommot,58.96,126.29,88.61,46,3,0.63,RU,1594955320
cabedelo,-6.98,-34.83,74.26,84,24,13.42,BR,1594955328
shizunai,42.33,142.37,65.5,75,22,5.06,JP,1594955807
victoria,22.29,114.16,88.0,73,97,5.99,HK,1594955032
biltine,14.53,20.92,80.49,63,96,12.12,TD,1594955807
yellowknife,62.46,-114.35,64.4,48,40,5.82,CA,1594955160
sinnamary,5.38,-52.95,78.26,86,96,9.31,GF,1594955345
chabahar,25.29,60.64,86.77,74,82,5.55,IR,1594955808
mount isa,-20.73,139.5,73.4,16,93,8.05,AU,1594955333
lgov,51.63,35.28,55.44,88,61,1.14,RU,1594955808
new norfolk,-42.78,147.06,50.0,81,0,1.01,AU,1594955317
georgetown,5.41,100.34,84.2,78,20,2.24,MY,1594955166
sao felix do xingu,-6.64,-51.99,72.79,69,0,1.66,BR,1594955808
igarka,67.47,86.58,56.53,60,6,19.39,RU,1594955808
oss,51.75,5.53,59.0,100,90,3.36,NL,1594955808
katsuura,35.13,140.3,69.01,94,75,19.46,JP,1594955122
san andres,12.58,-81.7,82.4,78,40,10.29,CO,1594955509
sarh,9.14,18.39,71.6,94,100,2.55,TD,1594955808
cherskiy,68.75,161.3,58.96,43,0,10.2,RU,1594955323
aklavik,68.22,-135.01,62.6,51,20,9.17,CA,1594955322
saint-leu,-21.15,55.28,66.2,82,90,3.36,RE,1594955808
lompoc,34.64,-120.46,64.4,72,5,11.41,US,1594955334
mar del plata,-38.0,-57.56,46.0,86,0,2.24,AR,1594955135
buraydah,26.33,43.98,82.4,30,0,3.36,SA,1594955808
kuznechikha,57.22,42.33,57.29,96,100,7.61,RU,1594955808
camocim,-2.9,-40.84,76.69,81,0,11.92,BR,1594955808
nikolskoye,59.7,30.79,59.0,87,100,4.47,RU,1594955324
tuatapere,-46.13,167.68,39.0,83,48,3.0,NZ,1594955113
rognan,67.1,15.39,62.01,78,100,1.01,NO,1594955808
bandarbeyla,9.49,50.81,80.71,59,91,32.64,SO,1594955344
dikson,73.51,80.55,41.25,94,30,5.61,RU,1594955321
sayaxche,16.52,-90.17,76.23,85,48,3.36,GT,1594955809
berdigestyakh,62.1,126.7,86.92,31,2,6.22,RU,1594955670
vao,-22.67,167.48,69.24,63,0,16.91,NC,1594955323
skibbereen,51.55,-9.27,55.4,100,75,8.05,IE,1594955661
san patricio,19.22,-104.7,82.4,74,75,3.2,MX,1594955331
barrow,71.29,-156.79,35.6,74,90,13.87,US,1594955318
provideniya,64.38,-173.3,55.4,71,90,5.95,RU,1594955320
iqaluit,63.75,-68.51,48.2,76,75,3.36,CA,1594955318
tasiilaq,65.61,-37.64,44.6,65,3,12.75,GL,1594955098
nanortalik,60.14,-45.24,48.27,62,2,6.26,GL,1594955316
independencia,-5.4,-40.31,74.55,63,18,7.56,BR,1594955809
mount gambier,-37.83,140.77,55.4,66,0,12.75,AU,1594955650
hokitika,-42.72,170.97,52.54,47,75,2.53,NZ,1594955809
north bend,43.41,-124.22,66.0,87,90,14.99,US,1594955340
hobart,-42.88,147.33,51.01,61,20,8.05,AU,1594955244
pucallpa,-8.38,-74.55,74.01,80,0,0.56,PE,1594955809
east london,-33.02,27.91,56.88,36,0,4.79,ZA,1594955318
clevelandia,-26.4,-52.47,57.06,98,100,5.91,BR,1594955809
sao gabriel da cachoeira,-0.13,-67.09,72.43,96,91,1.14,BR,1594955660
sao joao da barra,-21.64,-41.05,68.13,71,87,4.81,BR,1594955624
richards bay,-28.78,32.04,51.89,69,0,3.44,ZA,1594955640
nouakchott,18.09,-15.98,77.0,73,20,11.41,MR,1594955350
mafeteng,-29.82,27.24,30.63,86,0,1.14,LS,1594955810
carnarvon,-24.87,113.63,64.4,100,90,17.22,AU,1594955097
nome,64.5,-165.41,60.8,67,90,11.41,US,1594955334
leh,34.17,77.58,61.11,35,2,5.61,IN,1594955810
souillac,-20.52,57.52,69.8,77,40,6.93,MU,1594955329
beringovskiy,63.05,179.32,51.84,84,95,4.79,RU,1594955329
venice,27.1,-82.45,78.8,88,20,5.82,US,1594955810
primero de enero,21.95,-78.43,84.2,74,40,12.75,CU,1594955810
thompson,55.74,-97.86,66.2,68,40,11.41,CA,1594955108
necochea,-38.55,-58.74,45.79,79,28,9.04,AR,1594955810
celestun,20.87,-90.4,81.95,79,3,15.9,MX,1594955319
nikki,9.94,3.21,69.24,95,100,5.14,BJ,1594955810
palmer,42.16,-72.33,66.2,72,90,4.7,US,1594955236
najran,17.49,44.13,86.0,40,40,8.05,SA,1594955326
bang saphan,11.21,99.51,89.6,62,20,5.82,TH,1594955810
lyuban,52.8,28.0,55.04,89,0,4.12,BY,1594955810
vestmannaeyjar,63.44,-20.27,51.33,89,100,11.81,IS,1594955320
oranjemund,-28.55,16.43,63.45,30,0,18.14,NA,1594955338
esperance,-33.87,121.9,51.8,100,75,17.22,AU,1594955328
fairbanks,64.84,-147.72,68.0,52,20,4.7,US,1594955139
deputatskiy,69.3,139.9,49.14,53,68,5.79,RU,1594955331
airai,-8.93,125.41,73.18,58,0,3.6,TL,1594955350
chuy,-33.7,-53.46,46.08,93,0,3.74,UY,1594955324
kokopo,-4.35,152.26,82.76,77,41,1.59,PG,1594955337
praia,14.92,-23.51,77.0,73,75,12.75,CV,1594955333
ponta do sol,32.67,-17.1,66.2,82,20,3.36,PT,1594955325
san cristobal,7.77,-72.22,64.78,91,26,3.49,VE,1594955178
mecca,21.43,39.83,79.45,39,1,6.42,SA,1594955811
pevek,69.7,170.31,39.06,97,100,3.47,RU,1594955343
paragominas,-2.97,-47.48,70.54,97,12,2.91,BR,1594955811
mayskiy,47.69,40.1,68.0,68,40,24.61,RU,1594955811
lebu,-37.62,-73.65,52.86,91,100,22.26,CL,1594955322
kodiak,57.79,-152.41,59.0,82,90,4.7,US,1594955333
calama,-22.47,-68.93,44.6,12,0,21.92,CL,1594955811
gazanjyk,39.24,55.52,79.81,66,0,11.63,TM,1594955811
la romana,18.43,-68.97,77.0,94,20,7.25,DO,1594955657
castro,-24.79,-50.01,55.62,92,71,5.03,BR,1594955316
varkaus,62.32,27.87,51.8,87,0,1.12,FI,1594955811
upernavik,72.79,-56.15,44.35,73,96,4.79,GL,1594955321
elat,29.56,34.95,82.4,54,0,10.29,IL,1594955811
ljungby,56.83,13.94,53.01,100,0,1.28,SE,1594955811
yumen,40.28,97.2,71.46,39,96,9.93,CN,1594955811
batemans bay,-35.72,150.18,59.0,66,0,1.99,AU,1594955811
sitka,57.05,-135.33,59.0,77,90,9.17,US,1594955118
kismayo,-0.36,42.55,76.39,73,100,18.19,SO,1594955812
saskylakh,71.92,114.08,47.55,80,100,15.66,RU,1594955318
bodinayakkanur,10.02,77.35,77.95,69,100,6.87,IN,1594955812
pangnirtung,66.15,-65.71,63.1,33,43,4.14,CA,1594955642
cururupu,-1.83,-44.87,73.45,95,0,2.26,BR,1594955325
srednekolymsk,67.45,153.68,45.68,87,100,8.19,RU,1594955687
saint anthony,45.02,-93.22,79.0,57,20,11.41,US,1594955339
laguna,38.42,-121.42,80.6,39,1,12.75,US,1594955217
vila franca do campo,37.72,-25.43,66.2,88,75,10.29,PT,1594955336
nhulunbuy,-12.23,136.77,84.2,48,0,11.41,AU,1594955638
aswan,24.09,32.91,79.66,25,0,8.25,EG,1594955812
guerrero negro,27.98,-114.06,67.44,84,0,15.37,MX,1594955329
kristiansund,63.11,7.73,57.2,87,100,5.82,NO,1594955812
cairns,-16.92,145.77,78.01,47,43,8.05,AU,1594955642
bambous virieux,-20.34,57.76,69.8,77,40,6.93,MU,1594955328
elizabeth city,36.29,-76.25,78.8,88,1,8.05,US,1594955812
geraldton,-28.77,114.6,62.6,55,40,21.92,AU,1594955812
katobu,-4.94,122.53,81.63,78,90,5.55,ID,1594955812
turgutlu,38.5,27.7,71.6,43,0,20.8,TR,1594955812
rocha,-34.48,-54.33,43.14,93,0,6.02,UY,1594955328
jinan,36.67,117.0,87.01,58,100,6.53,CN,1594955812
truckee,39.33,-120.18,73.99,48,25,4.27,US,1594955812
booue,-0.09,11.94,71.6,93,100,2.86,GA,1594955813
vanavara,60.34,102.28,56.08,87,55,9.04,RU,1594955322
saint-philippe,-21.36,55.77,64.4,82,75,5.82,RE,1594955108
pinheiro machado,-31.58,-53.38,46.99,99,62,11.01,BR,1594955813
meulaboh,4.14,96.13,83.43,76,64,2.3,ID,1594955337
qatana,33.44,36.08,66.2,82,0,16.11,SY,1594955813
mutsu,41.29,141.22,71.6,73,20,9.17,JP,1594955813
karwar,14.8,74.13,78.94,87,100,14.56,IN,1594955813
naze,28.37,129.48,84.2,79,75,14.99,JP,1594955813
chokurdakh,70.63,147.92,51.13,59,77,6.17,RU,1594955106
mattru,7.62,-11.83,72.19,89,100,1.14,SL,1594955342
trelew,-43.25,-65.31,41.74,84,100,10.94,AR,1594955813
morogoro,-6.82,37.67,61.57,64,95,4.18,TZ,1594955813
apiai,-24.51,-48.84,50.68,100,46,1.12,BR,1594955813
seinajoki,62.79,22.83,54.0,100,14,1.45,FI,1594955813
morant bay,17.88,-76.41,82.4,74,20,2.24,JM,1594955643
te anau,-45.42,167.72,44.62,59,68,0.51,NZ,1594955324
usakos,-22.0,15.6,52.07,43,0,20.94,NA,1594955814
clyde river,70.47,-68.59,42.8,87,1,4.7,CA,1594955329
denpasar,-8.65,115.22,82.4,94,40,10.29,ID,1594955814
amga,60.9,131.96,85.89,32,2,6.49,RU,1594955814
salalah,17.02,54.09,82.4,88,90,5.82,OM,1594955320
torbay,47.67,-52.73,48.99,100,90,18.34,CA,1594955098
jacareacanga,-6.22,-57.75,75.61,67,87,1.66,BR,1594955814
steamboat springs,40.48,-106.83,68.0,42,40,3.65,US,1594955755
salinopolis,-0.61,-47.36,78.03,86,11,9.33,BR,1594955814
qui nhon,13.77,109.23,87.93,62,0,10.31,VN,1594955504
vredendal,-31.67,18.5,60.04,33,0,17.36,ZA,1594955814
safford,32.83,-109.71,91.4,26,20,14.99,US,1594955814
ruteng,-8.61,120.47,74.01,68,0,1.83,ID,1594955814
krasnoselkup,65.7,82.47,56.44,64,1,17.11,RU,1594955814
pisco,-13.7,-76.22,60.8,82,90,11.41,PE,1594955332
luderitz,-26.65,15.16,77.0,13,0,24.16,NA,1594955330
harper,4.38,-7.72,74.66,79,90,7.99,LR,1594955325
urkarakh,42.16,47.63,63.57,69,0,3.2,RU,1594955814
merrill,45.18,-89.68,71.6,72,40,4.7,US,1594955815
wum,6.38,10.07,63.36,100,100,1.9,CM,1594955815
kenai,60.55,-151.26,66.2,63,75,13.87,US,1594955604
grindavik,63.84,-22.43,46.4,87,75,28.86,IS,1594955332
sistranda,63.73,8.83,57.2,87,75,4.7,NO,1594955815
timra,62.49,17.33,55.99,100,0,3.36,SE,1594955815
santa cruz de tenerife,28.47,-16.25,75.2,38,13,9.19,ES,1594955815
olinda,-8.01,-34.86,73.4,83,40,5.82,BR,1594955815
ketchikan,55.34,-131.65,59.0,93,90,9.17,US,1594955815
quatre cocos,-20.21,57.76,69.8,77,40,6.93,MU,1594955343
camalu,30.85,-116.07,64.99,58,0,8.88,MX,1594955815
margate,51.38,1.39,64.99,76,98,1.99,GB,1594955661
qasigiannguit,68.82,-51.19,48.2,61,80,3.36,GL,1594955815
pemangkat,1.17,108.97,81.34,80,97,8.28,ID,1594955815
planaltina,-15.45,-47.61,60.8,67,0,1.12,BR,1594955815
faanui,-16.48,-151.75,77.59,81,5,10.96,PF,1594955321
ahome,25.92,-109.18,90.0,67,0,7.0,MX,1594955816
enshi,30.3,109.48,75.61,88,100,1.9,CN,1594955816
xuanzhou,30.95,118.76,79.79,86,97,6.91,CN,1594955816
aranos,-24.13,19.12,37.08,70,0,9.19,NA,1594955816
sarandi,-23.44,-51.87,61.54,83,61,3.83,BR,1594955816
djibo,14.1,-1.63,83.73,57,95,9.8,BF,1594955816
belyy yar,53.6,91.39,68.0,72,40,2.24,RU,1594955333
niksic,42.77,18.94,66.2,87,0,1.12,ME,1594955816
nuuk,64.18,-51.72,50.0,81,23,2.24,GL,1594955521
tura,25.52,90.22,80.15,91,99,5.95,IN,1594955340
anadyr,64.75,177.48,55.4,87,20,17.9,RU,1594955660
dronfield,53.3,-1.48,61.0,90,2,5.39,GB,1594955816
la ronge,55.1,-105.28,64.4,68,40,4.7,CA,1594955641
maracanau,-3.88,-38.63,78.8,78,75,8.05,BR,1594955816
starokostyantyniv,49.76,27.2,55.4,88,73,1.95,UA,1594955816
aripuana,-9.17,-60.63,72.72,54,62,1.12,BR,1594955816
lucapa,-8.42,20.74,62.1,32,0,6.67,AO,1594955816
campbell river,50.02,-125.24,71.6,64,75,3.36,CA,1594955721
klaksvik,62.23,-6.59,50.0,87,86,13.87,FO,1594955332
cabo san lucas,22.89,-109.91,84.0,51,5,11.41,MX,1594955240
macheng,31.18,115.03,88.16,72,48,7.81,CN,1594955816
rock sound,24.9,-76.2,83.03,78,95,16.6,BS,1594955817
conceicao do araguaia,-8.26,-49.26,80.78,44,65,0.47,BR,1594955667
korla,41.76,86.15,85.01,21,0,6.8,CN,1594955341
mildura,-34.2,142.15,62.01,47,0,5.82,AU,1594955817
byron bay,-28.65,153.62,68.0,63,90,13.87,AU,1594955682
indiaroba,-11.52,-37.51,72.23,79,14,6.4,BR,1594955817
tuy hoa,13.08,109.3,90.32,56,0,3.8,VN,1594955817
kavieng,-2.57,150.8,85.39,66,10,5.41,PG,1594955336
kamaishi,39.27,141.88,68.0,82,75,1.12,JP,1594955649
taltal,-25.4,-70.48,57.96,61,0,5.53,CL,1594955324
jalor,25.35,72.62,89.38,62,1,1.9,IN,1594955817
pakdasht,35.48,51.68,75.2,41,40,6.93,IR,1594955817
flin flon,54.77,-101.86,63.7,64,90,5.17,CA,1594955817
ribeira grande,38.52,-28.7,69.04,78,31,9.84,PT,1594955117
poronaysk,49.22,143.12,67.33,78,79,13.22,RU,1594955817
eureka,40.8,-124.16,61.0,85,2,1.01,US,1594955717
banfora,10.63,-4.77,71.78,95,77,3.38,BF,1594955817
carutapera,-1.2,-46.02,73.92,94,12,3.94,BR,1594955624
codrington,-38.27,141.97,54.79,68,0,8.1,AU,1594955323
dalby,-27.18,151.27,59.0,47,0,6.93,AU,1594955324
nanzhou,29.36,112.4,83.5,84,100,6.04,CN,1594955644
buribay,51.96,58.16,72.37,59,0,7.29,RU,1594955818
cockburn town,21.46,-71.14,83.07,78,47,19.57,TC,1594955338
batsfjord,70.63,29.72,55.4,87,95,4.7,NO,1594955818
leningradskiy,69.38,178.42,46.98,78,91,14.65,RU,1594955342
cuiaba,-15.6,-56.1,73.4,46,0,3.02,BR,1594955674
balsas,-7.53,-46.04,80.28,40,93,5.73,BR,1594955818
santarem,-2.44,-54.71,77.0,100,7,1.12,BR,1594955818
maniitsoq,65.42,-52.9,46.33,82,66,2.28,GL,1594955649
kaeo,-35.1,173.78,61.0,3,100,10.0,NZ,1594955818
novonukutskiy,53.7,102.71,55.96,80,100,3.4,RU,1594955818
rawson,-43.3,-65.1,43.3,81,100,11.36,AR,1594955323
blagoyevo,63.37,47.92,56.07,86,13,3.94,RU,1594955818
leshukonskoye,64.9,45.76,54.41,73,100,6.08,RU,1594955818
norrkoping,58.59,16.18,51.8,100,0,2.42,SE,1594955818
hami,42.8,93.45,86.32,22,23,10.69,CN,1594955333
puerto montt,-41.47,-72.94,50.0,93,90,16.11,CL,1594955818
beyneu,45.32,55.2,90.18,16,31,5.55,KZ,1594955819
moron,-34.65,-58.62,52.0,89,0,5.39,AR,1594955651
sciacca,37.51,13.09,68.0,89,0,5.01,IT,1594955819
slobozia,46.73,29.71,59.0,100,23,1.12,MD,1594955819
wuda,39.5,106.71,81.1,35,21,4.88,CN,1594955819
walvis bay,-22.96,14.51,62.6,18,0,12.75,NA,1594955819
yulara,-25.24,130.99,60.8,29,0,10.29,AU,1594955330
severo-kurilsk,50.68,156.12,54.84,86,95,1.23,RU,1594955114
saint-augustin,51.23,-58.65,62.19,57,12,8.81,CA,1594955337
ilulissat,69.22,-51.1,48.2,70,91,2.24,GL,1594955318
sosnovka,56.26,51.28,65.37,93,99,3.51,RU,1594955819
bustamante,26.53,-100.5,85.15,57,1,9.57,MX,1594955819
kruisfontein,-34.0,24.73,47.25,44,0,5.48,ZA,1594955318
luwuk,-0.95,122.79,84.43,65,93,4.23,ID,1594955819
manta,-0.95,-80.73,73.27,87,65,8.52,EC,1594955819
sao filipe,14.9,-24.5,74.55,83,39,3.31,CV,1594955331
ylivieska,64.08,24.55,57.99,88,0,2.04,FI,1594955819
stephenville crossing,48.5,-58.43,55.4,76,20,0.81,CA,1594955819
sharya,58.37,45.51,58.05,88,87,5.35,RU,1594955820
hillsboro,45.52,-122.99,75.99,56,1,16.11,US,1594955820
romitan,39.93,64.38,82.4,30,0,4.7,UZ,1594955820
hovd,48.01,91.64,67.57,36,0,5.06,MN,1594955321
talcahuano,-36.72,-73.12,53.6,87,90,20.8,CL,1594955102
mayo,38.89,-76.51,78.01,78,75,14.99,US,1594955820
kavaratti,10.57,72.64,83.25,80,100,19.42,IN,1594955319
tucuman,-26.82,-65.22,51.8,76,0,5.82,AR,1594955570
hasaki,35.73,140.83,68.0,100,75,10.29,JP,1594955317
gornopravdinsk,60.05,69.9,73.4,85,51,5.97,RU,1594955820
batagay-alyta,67.8,130.41,46.13,87,100,2.21,RU,1594955698
imeni poliny osipenko,52.42,136.49,73.51,77,94,8.23,RU,1594955334
manacapuru,-3.3,-60.62,77.0,94,20,1.12,BR,1594955756
guaratinga,-16.57,-39.57,73.4,78,40,9.17,BR,1594955820
sangmelima,2.93,11.98,65.8,98,100,3.29,CM,1594955649
gizo,-8.1,156.84,83.86,77,36,12.44,SB,1594955820
huaicheng,23.91,112.19,91.78,55,100,3.91,CN,1594955820
sangar,63.92,127.47,64.96,70,100,3.0,RU,1594955318
akyab,20.15,92.9,84.27,78,98,10.04,MM,1594955820
vallenar,-28.57,-70.76,59.56,37,0,0.4,CL,1594955820
norman wells,65.28,-126.83,66.2,72,75,12.75,CA,1594955203
augusto correa,-1.02,-46.63,72.79,97,4,2.84,BR,1594955821
port lincoln,-34.73,135.87,62.96,47,0,14.2,AU,1594955317
dafeng,23.45,108.59,88.48,64,100,11.48,CN,1594955703
sandpoint,48.28,-116.55,78.01,49,1,5.1,US,1594955821
trujillo,-8.12,-79.03,62.8,79,12,5.79,PE,1594955821
salinas,36.68,-121.66,62.6,72,90,10.29,US,1594955761
kuryk,43.2,51.65,83.17,44,0,11.7,KZ,1594955821
tazovskiy,67.47,78.7,48.6,78,3,14.85,RU,1594955821
maldonado,-34.67,-54.92,48.99,100,0,3.36,UY,1594955629
puerto padre,21.2,-76.6,78.8,88,43,6.93,CU,1594955821
bathsheba,13.22,-59.52,82.4,74,20,13.87,BB,1594955340
bonthe,7.53,-12.51,75.96,80,100,6.08,SL,1594955335
finschhafen,-6.6,147.87,82.35,76,8,8.79,PG,1594955821
bonavista,48.65,-53.11,48.0,77,100,3.0,CA,1594955684
olafsvik,64.89,-23.71,48.27,74,98,28.66,IS,1594955660
comodoro rivadavia,-45.87,-67.5,41.0,93,90,13.87,AR,1594955298
llanelli,51.68,-4.16,61.0,93,3,9.17,GB,1594955821
bredy,52.42,60.34,74.93,52,0,5.37,RU,1594955821
puerto escondido,15.85,-97.07,80.82,78,72,1.68,MX,1594955821
gwadar,25.12,62.33,85.84,75,72,4.41,PK,1594955646
komsomolskiy,40.43,71.72,80.6,28,100,4.7,UZ,1594955133
coquimbo,-29.95,-71.34,48.2,100,35,1.12,CL,1594955627
hay river,60.82,-115.8,59.0,77,75,11.41,CA,1594955318
roald,62.58,6.13,62.01,77,100,8.05,NO,1594955821
aksay,47.26,39.87,69.01,68,40,24.61,RU,1594955822
borujerd,33.9,48.75,70.2,47,0,2.73,IR,1594955822
narsaq,60.92,-46.05,55.4,35,22,8.05,GL,1594955323
sola,-13.88,167.55,82.4,83,90,8.05,VU,1594955323
marsa matruh,31.35,27.25,73.4,78,40,11.41,EG,1594955822
linxia,35.6,103.21,73.74,50,0,3.65,CN,1594955626
kahului,20.89,-156.47,91.4,49,40,21.92,US,1594955325
namibe,-15.2,12.15,70.29,37,0,9.4,AO,1594955630
tiksi,71.69,128.87,39.94,81,97,24.58,RU,1594955132
summerville,33.02,-80.18,80.6,100,90,2.98,US,1594955697
ancud,-41.87,-73.82,51.01,100,90,12.75,CL,1594955104
belfast,54.58,-5.93,61.0,82,81,16.11,GB,1594955822
derzhavinsk,51.1,66.32,74.03,48,0,15.3,KZ,1594955822
cap malheureux,-19.98,57.61,66.99,81,1,3.0,MU,1594955701
izumi,34.48,135.43,77.0,88,75,11.41,JP,1594955822
nurota,40.56,65.69,87.8,23,0,11.41,UZ,1594955822
dukat,62.55,155.55,57.22,75,92,3.0,RU,1594955822
santa isabel do rio negro,-0.41,-65.02,72.59,96,26,1.68,BR,1594955822
abashiri,44.02,144.27,75.99,57,40,3.36,JP,1594955645
sterling,39.01,-77.43,79.0,74,40,11.41,US,1594955419
upata,8.01,-62.4,71.17,95,92,4.29,VE,1594955822
morden,49.19,-98.1,71.6,68,1,6.91,CA,1594955704
inuvik,68.35,-133.72,62.6,51,20,9.17,CA,1594955745
ixtapa,20.7,-105.2,80.01,88,90,0.45,MX,1594955154
laizhou,37.18,119.93,85.86,48,68,10.42,CN,1594955823
diamantino,-14.41,-56.45,71.31,30,0,5.23,BR,1594955823
alofi,-19.06,-169.92,80.6,69,40,10.29,NU,1594955323
talawakele,6.94,80.66,68.67,86,100,5.61,LK,1594955823
kralendijk,12.15,-68.27,82.4,78,0,18.34,BQ,1594955652
ajdabiya,30.76,20.23,74.21,53,0,6.85,LY,1594955823
gambela,8.25,34.58,70.23,88,100,2.51,ET,1594955823
